SNP name;Number of occurrences
rs4704209;7
rs33926104;384
rs5030839;388
rs34743033;0
rs1799929;388
rs2884737;388
rs33973337;63
rs7626962;386
rs56387224;341
rs34130495;342
rs1057911;382
rs1057910;385
rs67807361;7
rs56411402;341
rs56165452;7
rs80081766;7
rs34284776;7
rs2273697;387
rs1799931;388
rs1799732;16
rs1799930;389
rs72559745;7
rs72559748;314
rs35266616;7
rs1799949;335
rs55901008;338
rs55918055;334
rs78060119;7
rs34097093;381
rs3213619;389
rs9934438;387
rs72558192;342
rs72558193;335
rs12769205;375
rs72558190;340
rs55640102;301
rs8175347;7
rs1799814;378
rs6025;386
rs11572080;383
rs35742686;0
rs1799966;385
rs17878459;384
rs16947;327
rs16941;388
rs16942;389
rs2257212;388
rs1695;388
rs16940;387
rs6809699;386
rs4149117;390
rs17599948;388
rs59710386;7
rs72558188;7
rs72558187;7
rs72558189;7
rs72558184;7
rs72558186;342
rs7311358;382
rs72549306;7
rs72549303;0
rs72549309;7
rs1800888;381
rs4986909;388
rs4986907;385
rs4986908;388
rs56379106;7
rs2032582;12
rs56061388;331
rs1805158;388
rs36210421;382
rs6413438;381
rs35350960;7
rs8177504;335
rs28399444;7
rs28399447;0
rs1142345;385
rs17885098;1
rs28399513;386
rs147545709;7
rs1801159;388
rs1801158;384
rs3758580;0
rs3758581;366
rs9332131;7
rs9332130;380
rs35796837;385
rs139257324;7
rs689466;85
rs4417205;8
rs8177507;7
rs4987161;378
rs34993780;0
rs28399504;381
rs7294;388
rs10264272;381
rs1801160;375
rs137852328;0
rs41291556;377
rs3745274;370
rs1801028;343
rs45486893;334
rs28399454;385
rs5030656;8
rs5030655;9
rs1805123;386
rs1805124;390
rs56107638;342
rs35622401;7
rs59113707;0
rs5275;373
rs1801131;381
rs28399424;388
rs1801030;342
rs1801133;387
rs12720441;7
rs3761738;380
rs3761739;381
rs12248560;384
rs1135840;378
rs4917623;387
rs1051266;381
rs3092995;4
rs6277;375
rs72547516;342
rs72547517;342
rs72547515;335
rs72547512;0
rs11045852;331
rs72547513;339
rs11045853;388
rs72547511;0
rs1045642;390
rs11568626;342
rs5853517;0
rs61736512;154
rs28399435;378
rs34698757;384
rs28399434;378
rs28399433;84
rs59421388;341
rs11188072;342
rs35773040;385
rs6269;386
rs41303343;7
rs2235013;388
rs2115819;367
rs12720461;388
rs887829;381
rs628031;383
rs1208;387
rs2279344;314
rs34671512;379
rs4244285;387
rs12516;347
rs9332239;385
rs6453131;0
rs1809810;7
rs28399499;380
rs57505750;333
rs2279341;85
rs12659;341
rs12571421;387
rs2279343;380
rs2279342;82
rs2231142;385
rs12208357;342
rs8177517;388
rs8177516;387
rs3815459;84
rs17879685;381
rs34883432;333
rs1065852;377
rs1051298;383
rs1051296;378
rs2235033;390
rs8192709;382
rs10038095;0
rs45482602;341
rs28399468;385
rs56313657;335
rs3826711;384
rs890293;384
rs5219;388
rs4148323;382
rs4646278;379
rs4646277;388
rs11045819;366
rs17882687;323
rs56220353;342
rs8192719;389
rs2282143;377
