Polymorphism name;Number of occurrences
CYP2C19_star_9;15
VKORC1_H9;15
VKORC1_H7;15
VKORC1_H8;15
VKORC1_H5;15
VKORC1_H6;15
VKORC1_H3;15
CYP2C19_star_2;15
VKORC1_H4;15
homozygous_CYP2D6_star_1;0
CYP2C19_star_7;15
VKORC1_H1;15
homozygous_CYP2D6_star_2;0
CYP2C19_star_8;15
VKORC1_H2;15
homozygous_CYP2D6_star_4;15
CYP2C19_star_6;15
homozygous_CYP2D6_star_17;15
homozygous_CYP2D6_star_10;0
CYP2A6_star_1B9;0
CYP2A6_star_1B8;0
CYP2A6_star_1B7;0
CYP2A6_star_1B6;0
CYP2A6_star_1B5;0
CYP2A6_star_1B4;0
CYP2A6_star_1B3;0
TPMT_star_24_PMID__18602085_;0
CYP2A6_star_1B2;0
CYP2A6_star_1B1;0
homozygous_UGT1A1_star_VIII;15
CYP2B6_star_7A;15
CYP2B6_star_7B;15
TPMT_star_20_PMID_16946561_;0
homozygous_BRCA1_5_hash;0
CYP2B6_star_29;15
CYP2B6_star_28;15
CYP2B6_star_2B;15
CYP2B6_star_2A;15
CYP2B6_star_18;15
homozygous_BRCA1_4_hash;15
CYP2B6_star_19;15
homozygous_CYP2B6_star_14;15
CYP2B6_star_1D;15
CYP2B6_star_1C;15
homozygous_CYP2B6_star_12;15
CYP2B6_star_1F;15
CYP2B6_star_1E;15
homozygous_CYP2B6_star_10;15
CYP2B6_star_1B;15
CYP2B6_star_1A;15
CYP2B6_star_1K;15
CYP2B6_star_1L;15
CYP2B6_star_1M;15
CYP2B6_star_1N;15
homozygous_CYP2B6_star_19;15
CYP2B6_star_1G;15
homozygous_CYP2B6_star_18;15
CYP2B6_star_1H;15
homozygous_CYP2B6_star_16;15
CYP2B6_star_1J;15
homozygous_CYP2B6_star_1E;15
CYP2B6_star_24;15
homozygous_CYP2B6_star_1D;15
CYP2B6_star_25;15
homozygous_CYP2B6_star_1C;15
CYP2B6_star_26;15
homozygous_CYP2B6_star_1B;15
CYP2B6_star_27;15
homozygous_CYP2B6_star_1A;15
homozygous_CYP2B6_star_17B;15
CYP2B6_star_20;15
homozygous_CYP2B6_star_17A;15
CYP2B6_star_21;15
CYP2B6_star_22;15
CYP2B6_star_23;15
CYP2C19_star_12;15
CYP2C19_star_13;15
homozygous_ABCB1_star_13;0
CYP2C19_star_10;15
homozygous_BRCA1_1_hash;15
CYP2C19_star_11;15
CYP2C19_star_16;15
CYP2B6_star_4A;15
homozygous_CYP2A6_star_1B3;15
CYP2C19_star_17;15
homozygous_CYP2A6_star_1B4;15
CYP2C19_star_14;15
homozygous_CYP2A6_star_1B1;15
CYP2C19_star_15;15
homozygous_CYP2A6_star_1B2;15
SULT1A1_star_3;0
homozygous_CYP2A6_star_1B7;15
CYP2B6_star_4D;15
homozygous_CYP2A6_star_1B8;15
CYP2C19_star_18;15
CYP2B6_star_4C;15
SULT1A1_star_1;15
homozygous_CYP2A6_star_1B5;15
CYP2C19_star_19;15
CYP2B6_star_4B;15
SULT1A1_star_2;15
homozygous_CYP2A6_star_1B6;15
homozygous_CYP2A6_star_1B9;15
CYP2C19_star_1C;0
homozygous_G6PD_haplotype_A-_202A__376G;0
CYP2C19_star_1B;15
CYP2C19_star_1A;15
SULT1A1_star_5;15
homozygous_COMT_Haplotype_low_activity;15
CYP2C19_star_22;0
CYP2D6_star_1;15
CYP2C19_star_23;15
CYP2D6_star_2;15
CYP2C19_star_24;15
CYP2C19_star_25;15
CYP2D6_star_4;0
CYP2C19_star_26;15
CYP2C19_star_27;15
CYP2C19_star_2B;15
homozygous_TPMT_star_24_PMID__18708949_;15
CYP2C19_star_2A;15
CYP2C19_star_2D;15
CYP2C19_star_2C;15
homozygous_CYP2B6_star_15B;15
homozygous_CYP2D6_star_41;0
homozygous_CYP2B6_star_15A;15
G6PD_haplotype_Mediterranean;15
homozygous_CYP2B6_star_5B;15
homozygous_CYP2B6_star_5C;15
COMT_Haplotype_high_activity;15
homozygous_CYP2B6_star_5A;15
homozygous_SULT1A1_star_3;0
BRCA1_3_hash;15
CYP2C9_star_12;15
homozygous_SULT1A1_star_2;0
CYP2C9_star_11;15
homozygous_SULT1A1_star_1;0
CYP2C9_star_14;15
CYP2C9_star_13;15
homozygous_CYP2A6_star_12C;15
CYP2C9_star_10;15
homozygous_CYP2A6_star_12B;15
homozygous_CYP2A6_star_12A;15
homozygous_CYP2B6_star_4C;15
homozygous_CYP2B6_star_4D;15
homozygous_CYP2B6_star_4A;15
CYP2C9_star_19;0
homozygous_CYP2B6_star_4B;15
CYP2C9_star_17;0
homozygous_SULT1A1_star_5;0
CYP2C9_star_18;15
CYP2C9_star_15;15
CYP2C9_star_16;15
CYP2D6_star_10;15
CYP2C9_star_23;0
CYP2C9_star_22;0
CYP2C9_star_21;0
CYP2D6_star_17;15
CYP2C9_star_20;0
BRCA1_5_hash;15
CYP2C9_star_26;0
CYP2C9_star_27;0
CYP2C9_star_28;0
CYP2C9_star_29;0
homozygous_TPMT_star_10;15
homozygous_TPMT_star_12;15
homozygous_TPMT_star_11;15
homozygous_TPMT_star_14;15
homozygous_TPMT_star_13;15
homozygous_TPMT_star_16;15
homozygous_TPMT_star_15;15
homozygous_TPMT_star_18;15
CYP2C9_star_30;0
homozygous_TPMT_star_17;15
CYP2C9_star_32;0
CYP2C9_star_31;15
CYP2D6_star_29;15
CYP2C9_star_34;15
CYP2C9_star_33;15
G6PD_haplotype_B__wildtype_;15
homozygous_CYP2B6_star_2A;15
homozygous_CYP2B6_star_2B;15
homozygous_ABCB1_star_13__per_Kroetz_et_al._2003__PMID__12893986__;15
homozygous_CYP2B6_star_29;15
homozygous_CYP2B6_star_27;15
homozygous_CYP2B6_star_28;15
homozygous_TPMT_star_23;15
homozygous_CYP2B6_star_26;15
homozygous_TPMT_star_22;15
homozygous_CYP2B6_star_25;15
homozygous_TPMT_star_21;15
homozygous_CYP2B6_star_24;15
homozygous_CYP2B6_star_23;15
homozygous_CYP2B6_star_22;15
homozygous_CYP2A6_star_3;15
homozygous_CYP2B6_star_21;15
homozygous_CYP2A6_star_2;0
homozygous_TPMT_star_25;15
homozygous_CYP2B6_star_20;15
homozygous_CYP2B6_star_1N;15
homozygous_CYP2B6_star_1M;15
homozygous_CYP2A6_star_7;0
homozygous_CYP2B6_star_1L;15
homozygous_CYP2A6_star_6;0
homozygous_CYP2B6_star_1K;15
homozygous_CYP2A6_star_5;0
homozygous_CYP2B6_star_1J;15
homozygous_CYP2B6_star_1H;15
homozygous_CYP2B6_star_1G;15
homozygous_CYP2B6_star_1F;15
homozygous_CYP2A6_star_8;15
homozygous_CYP2A6_star_9B;15
homozygous_CYP2A6_star_9A;15
homozygous_TPMT_star_3B;15
homozygous_TPMT_star_3A;0
homozygous_TPMT_star_3D;15
homozygous_TPMT_star_3C;15
TPMT_star_25;0
homozygous_CYP2C19_star_8;0
homozygous_CYP2C19_star_9;15
TPMT_star_21;0
TPMT_star_22;0
TPMT_star_23;0
homozygous_CYP2A6_star_1X2A;15
homozygous_CYP2A6_star_1X2B;15
homozygous_CYP2C19_star_2;0
HMGCR_H2;15
homozygous_CYP2C19_star_6;15
CYP2D6_star_41;0
HMGCR_H7;15
homozygous_CYP2C19_star_7;0
CYP2B6_star_11A;15
homozygous_UGT1A1_star_60c;15
UGT1A1_star_60c;15
G6PD_haplotype_A-_680T__376G;15
ABCB1_star_13;0
CYP2B6_star_11B;15
COMT_Haplotype_low_activity;15
TPMT_star_16;0
TPMT_star_17;0
TPMT_star_14;0
TPMT_star_15;0
TPMT_star_12;0
homozygous_BRCA1_4;15
TPMT_star_13;0
homozygous_BRCA1_3;15
TPMT_star_10;0
homozygous_BRCA1_2;15
TPMT_star_11;0
homozygous_BRCA1_1;0
homozygous_BRCA1_8;15
homozygous_BRCA1_7;15
homozygous_BRCA1_6;15
homozygous_BRCA1_5;0
TPMT_star_18;0
homozygous_BRCA1_9;15
homozygous_CYP2B6_star_7A;15
TPMT_star_3C;15
TPMT_star_3B;15
homozygous_CYP2B6_star_7B;15
ADRB1_H3;0
TPMT_star_3D;15
ADRB1_H2;15
ADRB1_H1;15
homozygous_CYP2A6_star_18B;15
homozygous_CYP2A6_star_18A;15
homozygous_CYP2A6_star_18C;15
homozygous_CYP2B6_star_6B;15
homozygous_CYP2B6_star_6A;15
CYP2B6_star_13B;15
CYP2B6_star_13A;15
homozygous_TPMT_star_20_PMID_16946561_;15
homozygous_CYP2B6_star_6C;15
ABCB1_star_2__per_Kroetz_et_al._2003__PMID__12893986__;15
TPMT_star_3A;15
ABCB1_star_2__per_Kim_et_al._2001__PMID__11503014__;15
homozygous_HMGCR_H7;0
homozygous_HMGCR_H2;0
homozygous_G6PD_haplotype_A-_968C__376G;15
homozygous_ABCB1_star_2__per_Kroetz_et_al._2003__PMID__12893986__;0
CYP2A6_star_1B10;0
CYP2A6_star_1B12;0
CYP2A6_star_1B11;0
CYP2A6_star_1B14;0
CYP2A6_star_1B13;0
CYP2A6_star_1B15;0
CYP2A6_star_1B16;0
CYP2A6_star_1B17;0
homozygous_ABCB1_star_2__per_Kim_et_al._2001__PMID__11503014__;0
CYP2B6_star_15B;15
CYP2B6_star_15A;15
CYP1A2_star_1F;15
CYP1A2_star_1E;15
COMT_Haplotype_intermediate_activity;15
CYP1A2_star_1C;0
CYP1A2_star_1J;15
CYP1A2_star_1H;0
CYP1A2_star_1G;15
CYP1A2_star_1B;15
CYP1A2_star_1A;15
CYP1A2_star_1K;15
homozygous_G6PD_haplotype_A-_680T__376G;15
homozygous_VKORC1_star_4;0
homozygous_VKORC1_star_3;0
homozygous_VKORC1_star_2;0
CYP1A2_star_20;0
CYP1A2_star_21;15
ABCB1_star_1;0
P2RY12_H2;15
CYP1A2_star_13;15
TPMT_star_8;0
CYP1A2_star_14;15
TPMT_star_7;0
CYP1A2_star_15;15
TPMT_star_6;0
CYP1A2_star_16;15
TPMT_star_5;0
CYP1A2_star_17;15
TPMT_star_4;15
CYP1A2_star_18;0
BRCA1_1;15
CYP1A2_star_19;0
BRCA1_2;15
TPMT_star_2;15
BRCA1_3;15
TPMT_star_1;15
CYP2B6_star_17A;15
BRCA1_4;0
BRCA1_5;0
BRCA1_6;15
CYP2B6_star_17B;15
BRCA1_7;15
BRCA1_8;15
CYP1A2_star_10;15
BRCA1_9;15
CYP1A2_star_11;15
CYP1A2_star_12;0
TPMT_star_9;0
homozygous_CYP2A6_star_13;15
homozygous_CYP2C19_star_2D;15
homozygous_CYP2A6_star_14;15
homozygous_CYP2C19_star_2C;15
homozygous_CYP2A6_star_11;15
homozygous_CYP2C19_star_2B;15
homozygous_CYP2A6_star_10;15
homozygous_CYP1A2_star_9;15
homozygous_CYP1A2_star_7;0
CYP2B6_star_3;15
homozygous_CYP1A2_star_8;15
CYP2B6_star_8;15
CYP2B6_star_9;15
homozygous_CYP1A2_star_2;15
homozygous_CYP2A6_star_1D;15
homozygous_CYP2A6_star_1C;15
homozygous_CYP2A6_star_1A;0
homozygous_CYP1A2_star_6;0
homozygous_CYP1A2_star_5;15
homozygous_CYP1A2_star_4;15
homozygous_CYP1A2_star_3;15
homozygous_CYP2A6_star_19;15
homozygous_CYP2C19_star_3A;15
homozygous_CYP2C19_star_3B;15
homozygous_CYP2A6_star_17;15
homozygous_CYP2A6_star_16;15
homozygous_CYP2A6_star_15;15
homozygous_CYP2C19_star_1B;15
homozygous_CYP2C19_star_1A;0
homozygous_CYP2C19_star_1C;15
homozygous_CYP2A6_star_1J;15
homozygous_CYP2A6_star_1K;15
homozygous_CYP2A6_star_1L;15
homozygous_CYP2A6_star_1E;15
homozygous_CYP2A6_star_1F;15
homozygous_CYP2A6_star_1G;15
homozygous_CYP2A6_star_1H;15
homozygous_G6PD_haplotype_Mediterranean;0
homozygous_CYP2C19_star_22;15
homozygous_CYP2C19_star_23;15
homozygous_CYP2C19_star_24;15
homozygous_CYP2C19_star_25;15
homozygous_CYP2C19_star_26;15
CYP2A6_star_12A;0
homozygous_CYP2C19_star_27;0
CYP2A6_star_12C;0
CYP2A6_star_12B;0
homozygous_CYP2B6_star_11B;15
homozygous_CYP2B6_star_11A;15
homozygous_CYP2C19_star_2A;15
CYP2A6_star_1K;0
CYP2A6_star_1J;0
CYP2A6_star_1L;0
CYP2A6_star_1G;0
CYP2A6_star_1X2B;0
CYP2A6_star_1F;0
CYP2A6_star_1X2A;0
CYP2A6_star_1H;0
CYP2A6_star_2;0
CYP2A6_star_16;0
CYP2A6_star_17;15
CYP2A6_star_19;15
homozygous_ABCB1_star_1;0
CYP2A6_star_1C;0
homozygous_CYP2C19_star_5A;15
CYP2A6_star_7;15
CYP2A6_star_1D;0
homozygous_CYP2C19_star_5B;15
CYP2A6_star_8;15
CYP2A6_star_1E;0
CYP2A6_star_5;15
CYP2A6_star_6;15
CYP2A6_star_3;0
CYP2A6_star_1A;15
CYP2A6_star_15;15
CYP2A6_star_14;15
CYP2A6_star_13;15
CYP2A6_star_11;0
CYP2A6_star_10;15
homozygous_CYP2C19_star_4A;15
homozygous_CYP2C19_star_4B;15
homozygous_CYP2B6_star_13B;15
homozygous_P2RY12_H2;0
homozygous_CYP2B6_star_13A;15
