SNP name;Number of occurrences
rs7626962;342
rs56387224;340
rs34130495;341
rs1057911;338
rs1057910;342
rs67807361;15
rs56411402;340
rs56165452;15
rs80081766;15
rs34284776;15
rs2273697;341
rs1799931;342
rs1799732;23
rs1799930;343
rs72559745;15
rs72559748;313
rs35266616;15
rs1799949;332
rs55901008;337
rs55918055;333
rs78060119;15
rs34097093;340
rs3213619;342
rs9934438;342
rs72558192;341
rs72558193;326
rs12769205;325
rs72558190;339
rs55640102;301
rs8175347;15
rs1799814;327
rs6025;342
rs11572080;342
rs35742686;0
rs1799966;342
rs17878459;341
rs16947;310
rs16941;342
rs16942;342
rs2257212;341
rs1695;342
rs16940;341
rs6809699;342
rs4149117;342
rs17599948;342
rs59710386;15
rs72558188;15
rs72558187;15
rs72558189;15
rs72558184;15
rs72558186;341
rs7311358;339
rs72549306;15
rs72549303;0
rs72549309;15
rs1800888;327
rs4986909;342
rs4986907;342
rs4986908;342
rs56379106;15
rs2032582;16
rs56061388;322
rs1805158;342
rs36210421;340
rs6413438;327
rs35350960;15
rs8177504;326
rs28399444;15
rs28399447;0
rs1142345;342
rs17885098;0
rs28399513;342
rs147545709;15
rs1801159;342
rs1801158;342
rs3758580;0
rs3758581;342
rs9332131;15
rs9332130;327
rs35796837;342
rs139257324;15
rs689466;49
rs4417205;16
rs8177507;15
rs4987161;327
rs34993780;0
rs28399504;327
rs7294;342
rs10264272;327
rs1801160;325
rs137852328;0
rs41291556;327
rs3745274;319
rs1801028;340
rs45486893;325
rs28399454;342
rs5030656;16
rs5030655;17
rs1805123;341
rs1805124;342
rs56107638;341
rs35622401;15
rs59113707;0
rs5275;328
rs1801131;327
rs28399424;342
rs1801030;340
rs1801133;342
rs12720441;15
rs3761738;327
rs3761739;327
rs12248560;342
rs1135840;336
rs4917623;341
rs1051266;327
rs3092995;3
rs6277;324
rs72547516;341
rs72547517;341
rs72547515;326
rs72547512;0
rs11045852;280
rs72547513;338
rs11045853;342
rs72547511;0
rs1045642;343
rs11568626;341
rs5853517;0
rs61736512;159
rs28399435;327
rs34698757;342
rs28399434;327
rs28399433;49
rs59421388;340
rs11188072;341
rs35773040;342
rs6269;342
rs41303343;15
rs2235013;342
rs2115819;316
rs12720461;342
rs887829;328
rs628031;327
rs1208;343
rs2279344;270
rs34671512;327
rs4244285;342
rs12516;341
rs9332239;342
rs6453131;0
rs1809810;15
rs28399499;327
rs57505750;324
rs2279341;49
rs12659;339
rs12571421;342
rs2279343;340
rs2279342;48
rs2231142;342
rs12208357;294
rs8177517;342
rs8177516;341
rs3815459;48
rs17879685;327
rs34883432;284
rs1065852;338
rs1051298;335
rs1051296;326
rs2235033;343
rs8192709;341
rs10038095;0
rs45482602;340
rs28399468;342
rs56313657;326
rs3826711;342
rs890293;342
rs5219;342
rs4148323;328
rs4646278;327
rs4646277;342
rs11045819;324
rs17882687;314
rs56220353;341
rs8192719;343
rs2282143;324
