SNP name;Number of occurrences
rs55737008;342
rs17708472;387
rs56172717;342
rs34946978;384
rs9911630;389
rs34826503;71
rs4802101;0
rs4986910;387
rs4986913;387
rs10276036;389
rs5030862;356
rs5030863;0
rs5030865;23
rs9282861;0
rs5030868;101
rs5030867;382
rs1799853;384
rs10935838;0
rs2740574;384
rs140790673;0
rs35468935;0
rs4704209;0
rs33926104;383
rs5030839;387
rs34743033;0
rs1799929;387
rs2884737;387
rs33973337;64
rs7626962;385
rs56387224;341
rs34130495;342
rs1057911;379
rs1057910;384
rs67807361;0
rs56411402;341
rs56165452;0
rs80081766;0
rs34284776;0
rs2273697;386
rs1799931;387
rs1799732;9
rs1799930;388
rs72559745;0
rs72559748;312
rs35266616;0
rs1799949;335
rs55901008;338
rs55918055;334
rs78060119;0
rs34097093;380
rs3213619;388
rs9934438;386
rs72558192;342
rs72558193;342
rs12769205;381
rs72558190;340
rs55640102;299
rs8175347;0
rs1799814;384
rs6025;385
rs11572080;382
rs35742686;0
rs1799966;384
rs17878459;383
rs16947;333
rs16941;387
rs16942;388
rs2257212;387
rs1695;387
rs16940;386
rs6809699;385
rs4149117;389
rs17599948;387
rs59710386;0
rs72558188;0
rs72558187;0
rs72558189;0
rs72558184;0
rs72558186;342
rs7311358;381
rs72549306;0
rs72549303;0
rs72549309;0
rs1800888;387
rs4986909;387
rs4986907;384
rs4986908;387
rs56379106;0
rs2032582;5
rs56061388;338
rs1805158;387
rs36210421;381
rs6413438;387
rs35350960;0
rs8177504;342
rs28399444;0
rs28399447;0
rs1142345;384
rs17885098;1
rs28399513;385
rs147545709;0
rs1801159;387
rs1801158;383
rs3758580;0
rs3758581;365
rs9332131;0
rs9332130;386
rs35796837;384
rs139257324;0
rs689466;78
rs4417205;1
rs8177507;0
rs4987161;384
rs34993780;0
rs28399504;387
rs7294;387
rs10264272;387
rs1801160;381
rs137852328;0
rs41291556;383
rs3745274;376
rs1801028;343
rs45486893;341
rs28399454;384
rs5030656;1
rs5030655;2
rs1805123;384
rs1805124;389
rs56107638;342
rs35622401;0
rs59113707;0
rs5275;371
rs1801131;387
rs28399424;387
rs1801030;342
rs1801133;386
rs12720441;0
rs3761738;386
rs3761739;387
rs12248560;383
rs1135840;377
rs4917623;386
rs1051266;387
rs3092995;4
rs6277;381
rs72547516;342
rs72547517;342
rs72547515;342
rs72547512;0
rs11045852;336
rs72547513;339
rs11045853;387
rs72547511;0
rs1045642;389
rs11568626;342
rs5853517;0
rs61736512;150
rs28399435;384
rs34698757;383
rs28399434;384
rs28399433;77
rs59421388;341
rs11188072;342
rs35773040;384
rs6269;385
rs41303343;0
rs2235013;387
rs2115819;372
rs12720461;387
rs887829;387
rs628031;389
rs1208;386
rs2279344;311
rs34671512;385
rs4244285;386
rs12516;347
rs9332239;384
rs6453131;0
rs1809810;0
rs28399499;386
rs57505750;340
rs2279341;78
rs12659;341
rs12571421;386
rs2279343;379
rs2279342;75
rs2231142;384
rs12208357;346
rs8177517;387
rs8177516;386
rs3815459;77
rs17879685;387
rs34883432;337
rs1065852;376
rs1051298;381
rs1051296;384
rs2235033;389
rs8192709;381
rs10038095;0
rs45482602;341
rs28399468;384
rs56313657;342
rs3826711;383
rs890293;383
rs5219;387
rs4148323;388
rs4646278;385
rs4646277;387
rs11045819;364
rs17882687;330
rs56220353;342
rs8192719;388
rs2282143;383
