Approved Symbol	Approved Name	Aliases	Entrez Gene ID (mapped data supplied by NCBI)	Ensembl ID (mapped data supplied by Ensembl)
CBWD6	COBW domain containing 6	OTTHUMG00000066820	644019	ENSG00000204790
ZNF439	zinc finger protein 439	DKFZp571K0837	90594	ENSG00000171291
MIR641	microRNA 641	hsa-mir-641	693226	ENSG00000207631
GH1	growth hormone 1	GH-N, GHN, GH, hGH-N	2688	ENSG00000204414
TMEM125	transmembrane protein 125	MGC17299	128218	ENSG00000179178
FAM178A	family with sequence similarity 178, member A	FLJ10512, FLJ25012	55719	ENSG00000119906
C8G	complement component 8, gamma polypeptide		733	ENSG00000176919
ZCWPW2	zinc finger, CW type with PWWP domain 2	ZCW2	152098	ENSG00000206559
A2MP1	alpha-2-macroglobulin pseudogene 1		3	
CRIM1	cysteine rich transmembrane BMP regulator 1 (chordin-like)		51232	ENSG00000150938
MIR4535	microRNA 4535	hsa-mir-4535	100616415	
HIGD1A	HIG1 hypoxia inducible domain family, member 1A	HIG1, DKFZP564K247	25994	ENSG00000181061
TFRC	transferrin receptor (p90, CD71)	CD71, TFR1	7037	ENSG00000072274
LINC00479	long intergenic non-protein coding RNA 479	PRED76, FLJ32835	150135	ENSG00000236384
LINC00487	long intergenic non-protein coding RNA 487	FLJ42418	400941	
PTPRU	protein tyrosine phosphatase, receptor type, U	PTPRO, hPTP-J, PCP-2, FMI, PTP	10076	ENSG00000060656
MIR581	microRNA 581	hsa-mir-581	693166	ENSG00000207627
DFNB83	deafness, autosomal recessive 83		100359400	
VN1R56P	vomeronasal 1 receptor 56 pseudogene		100312774	
THOC4	THO complex 4	ALY, BEF, ALY/REF, REF	10189	ENSG00000183684
SFXN5	sideroflexin 5	BBG-TCC	94097	ENSG00000144040
RSPH9	radial spoke head 9 homolog (Chlamydomonas)	FLJ30845	221421	ENSG00000172426
SRP72P1	signal recognition particle 72kDa pseudogene 1		100420752	
FBXO2	F-box protein 2	FBX2, Nfb42, Fbs1, Fbg1	26232	ENSG00000116661
FAM27D1	family with sequence similarity 27, member D1	OTTHUMG00000013267	724094	ENSG00000204804
SETD1B	SET domain containing 1B	KIAA1076, Set1B, KMT2G	23067	ENSG00000139718
RPS14P8	ribosomal protein S14 pseudogene 8		644146	
FAM21A	family with sequence similarity 21, member A	bA56A21.1	387680	ENSG00000099290
RPL23AP63	ribosomal protein L23a pseudogene 63		729798	
ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9	EST640918	10350	ENSG00000154258
MUC4	mucin 4, cell surface associated		4585	ENSG00000145113
NDUFAF3	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 3	MGC10527, DKFZP564J0123, E3-3, 2P1	25915	ENSG00000178057
KLC2	kinesin light chain 2	FLJ12387	64837	ENSG00000174996
C12orf43	chromosome 12 open reading frame 43	FLJ12448	64897	ENSG00000157895
APTX	aprataxin	FLJ20157, AOA, AOA1, EAOH, EOAHA	54840	ENSG00000137074
OAT	ornithine aminotransferase	HOGA	4942	ENSG00000065154
MIR4664	microRNA 4664	hsa-mir-4664	100616318	
RPL12P34	ribosomal protein L12 pseudogene 34		100271407	ENSG00000229824
CST7	cystatin F (leukocystatin)		8530	ENSG00000077984
GBP3	guanylate binding protein 3	FLJ10961	2635	ENSG00000117226
TLK2P2	tousled-like kinase 2 pseudogene 2	TLK2ps2	553121	
RPL26P5	ribosomal protein L26 pseudogene 5	HsT41398	654386	
SF3B3	splicing factor 3b, subunit 3, 130kDa	SAP130, SF3b130, RSE1, KIAA0017	23450	ENSG00000189091
OC90	otoconin 90		729330	ENSG00000253117
KCNIP1	Kv channel interacting protein 1	KCHIP1	30820	ENSG00000182132
TBC1D30	TBC1 domain family, member 30	KIAA0984	23329	ENSG00000111490
USP33	ubiquitin specific peptidase 33	KIAA1097, VDU1	23032	ENSG00000077254
TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	E2A, ITF1, MGC129647, MGC129648, bHLHb21, VDIR, E47	6929	ENSG00000071564
RIMKLA	ribosomal modification protein rimK-like family member A	MGC47816, RP11-157D18.1, NAAGS-II	284716	ENSG00000177181
CHST5	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5	I-GLCNAC-6-ST, FLJ22167	23563	ENSG00000135702
FRA12E	fragile site, aphidicolin type, common, fra(12)(q24)		2452	
RRAGB	Ras-related GTP binding B		10325	ENSG00000083750
HDAC9	histone deacetylase 9	KIAA0744, HDAC, MITR, HD7, HDAC7B	9734	ENSG00000048052
CD226	CD226 molecule	DNAM-1, DNAM1, PTA1, TLiSA1	10666	ENSG00000150637
PDE1C	phosphodiesterase 1C, calmodulin-dependent 70kDa	Hcam3	5137	ENSG00000154678
TRIO	triple functional domain (PTPRF interacting)	ARHGEF23	7204	ENSG00000038382
PCDHGB4	protocadherin gamma subfamily B, 4	FIB2, CDH20, PCDH-GAMMA-B4	8641	ENSG00000253953
RPS21P1	ribosomal protein S21 pseudogene 1		100271090	
GNG3	guanine nucleotide binding protein (G protein), gamma 3		2785	ENSG00000162188
MIR203	microRNA 203	hsa-mir-203	406986	ENSG00000207568
IGHVII-15-1	immunoglobulin heavy variable (II)-15-1 (pseudogene)	IGHV(II)-15-1	28376	ENSG00000253458
ZNF886P	zinc finger protein 886, pseudogene		100419728	ENSG00000232522
KCTD14	potassium channel tetramerisation domain containing 14	MGC2376	65987	ENSG00000151364
SPANXA2	SPANX family, member A2		728712	ENSG00000203926
IL36G	interleukin 36, gamma	IL-1H1, IL-1RP2, IL-1F9, IL1H1, IL1E	56300	ENSG00000136688
CIRH1A	cirrhosis, autosomal recessive 1A (cirhin)	NAIC, FLJ14728, KIAA1988, TEX292, CIRHIN, UTP4	84916	ENSG00000141076
POU5F2	POU domain class 5, transcription factor 2	SPRM-1, FLJ25680	134187	ENSG00000248483
FAM75D3	family with sequence similarity 75, member D3	FLJ44082	389762	ENSG00000186788
ARHGEF38	Rho guanine nucleotide exchange factor (GEF) 38	FLJ20184	54848	ENSG00000236699
GLC1D	glaucoma 1, open angle, D (adult-onset)		2724	
BEST2	bestrophin 2	FLJ20132	54831	ENSG00000039987
C14orf105	chromosome 14 open reading frame 105	FLJ10650	55195	ENSG00000100557
SREBF1	sterol regulatory element binding transcription factor 1	SREBP1, bHLHd1, SREBP-1c	6720	ENSG00000072310
C9orf93	chromosome 9 open reading frame 93	FLJ39267, FLJ46740, Em:AL513423.1, bA778P13.1, bA536D16.1	203238	ENSG00000164989
RPL26	ribosomal protein L26	L26	6154	ENSG00000161970
ORMDL2	ORM1-like 2 (S. cerevisiae)	HSPC160, adoplin-2, MST095, MSTP095	29095	ENSG00000123353
NAP1L1P1	nucleosome assembly protein 1-like 1 pseudogene 1		729561	ENSG00000254759
ECD	ecdysoneless homolog (Drosophila)	hSGT1, GCR2	11319	ENSG00000122882
RPS12P31	ribosomal protein S12 pseudogene 31		100130192	
TFEC	transcription factor EC	TCFEC, TFECL, bHLHe34	22797	ENSG00000105967
RPL7AP71	ribosomal protein L7a pseudogene 71		100271399	
ZDHHC20	zinc finger, DHHC-type containing 20	FLJ25952	253832	ENSG00000180776
HMHA1	histocompatibility (minor) HA-1	KIAA0223, HA-1, ARHGAP45	23526	ENSG00000180448
MIR1470	microRNA 1470	hsa-mir-1470	100302127	ENSG00000222417
RNR2	RNA, ribosomal 2		6053	
GPHB5	glycoprotein hormone beta 5	ZLUT1, GPB5	122876	ENSG00000179600
SNORA5C	small nucleolar RNA, H/ACA box 5C	ACA5c	677796	ENSG00000201772
BAGE2	B melanoma antigen family, member 2	CT2.2	85319	ENSG00000187172
CYLC2	cylicin, basic protein of sperm head cytoskeleton 2		1539	ENSG00000155833
MTND2P28	MT-ND2 pseudogene 28			ENSG00000225630
PRKCE	protein kinase C, epsilon		5581	ENSG00000171132
ARR3	arrestin 3, retinal (X-arrestin)	ARRX	407	ENSG00000120500
TMEM132C	transmembrane protein 132C	DKFZp761O2018	92293	ENSG00000181234
SIGLEC15	sialic acid binding Ig-like lectin 15	HsT1361	284266	ENSG00000197046
FBXL6	F-box and leucine-rich repeat protein 6	FBL6	26233	ENSG00000182325
GOLGA6L4	golgin A6 family-like 4		161527	ENSG00000184206
DNM1P36	DNM1 pseudogene 36	DNM1DN8-3	100216515	
MARK2P10	MAP/microtubule affinity-regulating kinase 2 pseudogene 10		402679	ENSG00000227284
B3GNT8	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	BGALT15, beta3Gn-T8	374907	ENSG00000177191
RNU1-5	RNA, U1 small nuclear 5	U1P101, U1P15, U1.15	26863	ENSG00000206737
CYP11A1	cytochrome P450, family 11, subfamily A, polypeptide 1	P450SCC	1583	ENSG00000140459
FLII	flightless I homolog (Drosophila)	FLI, FLIL, Fli1, MGC39265	2314	ENSG00000177731
EIF2S2P7	eukaryotic translation initiation factor 2, subunit 2 beta pseudogene 7		647016	
BCL2L12	BCL2-like 12 (proline rich)		83596	ENSG00000126453
SNX7	sorting nexin 7		51375	ENSG00000162627
RPL35P6	ribosomal protein L35 pseudogene 6		100271007	ENSG00000244018
NUDT17	nudix (nucleoside diphosphate linked moiety X)-type motif 17	FLJ34433	200035	ENSG00000186364
RPS26	ribosomal protein S26	S26	6231	ENSG00000197728
RPL32P23	ribosomal protein L32 pseudogene 23		644020	
ACTR3	ARP3 actin-related protein 3 homolog (yeast)	ARP3	10096	ENSG00000115091
HERC2P5	hect domain and RLD 2 pseudogene 5	D16F37S6	388254	
CERKL	ceramide kinase-like		375298	ENSG00000188452
CICP13	capicua homolog (Drosophila) pseudogene 13		728615	ENSG00000234419
MCF2L2	MCF.2 cell line derived transforming sequence-like 2	KIAA0861, ARHGEF22	23101	ENSG00000053524
UHMK1	U2AF homology motif (UHM) kinase 1	KIS, Kist	127933	ENSG00000152332
LASP1	LIM and SH3 protein 1	MLN50, Lasp-1	3927	ENSG00000002834
C12orf70	chromosome 12 open reading frame 70	LOC341346	341346	ENSG00000165935
NEK2P2	NEK2 pseudogene 2		100379667	ENSG00000231565
CNN2P12	calponin 2 pseudogene 12		100131550	ENSG00000204718
OR2G1P	olfactory receptor, family 2, subfamily G, member 1 pseudogene	OST619, hs6M1-25	26717	
HMGN2P19	high mobility group nucleosomal binding domain 2 pseudogene 19			ENSG00000229367
RPL7AP33	ribosomal protein L7a pseudogene 33		391850	ENSG00000254200
ARL2BPP1	ADP-ribosylation factor-like 2 binding protein pseudogene 1	HsT2883	399666	
TCEA3	transcription elongation factor A (SII), 3	TFIIS.H	6920	ENSG00000204219
ADAM29	ADAM metallopeptidase domain 29	svph1, CT73	11086	ENSG00000168594
TRNAQ15	transfer RNA glutamine 15 (anticodon UUG)		100189185	
ANKRD39	ankyrin repeat domain 39	MGC41816	51239	ENSG00000213337
VIM	vimentin		7431	ENSG00000026025
BTF3P16	basic transcription factor 3 pseudogene 16		643412	
FAM135B	family with sequence similarity 135, member B	C8ORFK32	51059	ENSG00000147724
C19orf66	chromosome 19 open reading frame 66	FLJ11286	55337	ENSG00000130813
BTBD6	BTB (POZ) domain containing 6	BDPL	90135	ENSG00000184887
TRNAI28P	transfer RNA isoleucine 28 (anticodon AAU) pseudogene		100189462	
PRUNEP1	prune homolog (Drosophila) pseudogene 1		100129595	ENSG00000234706
DFNA55	deafness, autosomal dominant 55			
OSBPL10-AS1	OSBPL10 antisense RNA 1 (non-protein coding)			ENSG00000232490
C10orf120	chromosome 10 open reading frame 120	bA318C4.1	399814	ENSG00000183559
VSTM2L	V-set and transmembrane domain containing 2 like	dJ1118M15.2	128434	ENSG00000132821
ANKRD9	ankyrin repeat domain 9		122416	ENSG00000156381
MIR4666A	microRNA 4666a	hsa-mir-4666	100616308	
RPL18AP10	ribosomal protein L18a pseudogene 10		100271285	
TCOF1	Treacher Collins-Franceschetti syndrome 1	treacle	6949	ENSG00000070814
OR10AC1P	olfactory receptor, family 10, subfamily AC, member 1 pseudogene		392133	ENSG00000176510
RBM7	RNA binding motif protein 7		10179	ENSG00000076053
SCARF2	scavenger receptor class F, member 2	SREC-II, SREC2, HUMZD58C02	91179	ENSG00000244486
PARD6B	par-6 partitioning defective 6 homolog beta (C. elegans)	PAR-6B	84612	ENSG00000124171
BDP1P	B double prime 1 pseudogene		724038	
SEPP1	selenoprotein P, plasma, 1	SeP	6414	ENSG00000250722
MVK	mevalonate kinase	LRBP, MK	4598	ENSG00000110921
FAM184A	family with sequence similarity 184, member A	FLJ13942	79632	ENSG00000111879
RPL21P133	ribosomal protein L21 pseudogene 133		100271391	
VN1R84P	vomeronasal 1 receptor 84 pseudogene		100312829	
NOX4	NADPH oxidase 4	KOX-1, KOX	50507	ENSG00000086991
CCT4	chaperonin containing TCP1, subunit 4 (delta)	Cctd	10575	ENSG00000115484
MOSPD1	motile sperm domain containing 1	dJ473B4	56180	ENSG00000101928
ARHGEF16	Rho guanine nucleotide exchange factor (GEF) 16	NBR, GEF16	27237	ENSG00000130762
LCEP1	late cornified envelope pseudogene 1		450208	
MIR4775	microRNA 4775	hsa-mir-4775	100616361	
SORBS3	sorbin and SH3 domain containing 3	SCAM-1, SH3D4, vinexin	10174	ENSG00000120896
RPSA	ribosomal protein SA	LRP, 37LRP, p40, SA	3921	ENSG00000168028
ERRFI1	ERBB receptor feedback inhibitor 1	MIG-6, GENE-33, RALT	54206	ENSG00000116285
LINC00160	long intergenic non-protein coding RNA 160		54064	ENSG00000230978
TRAV38-1	T cell receptor alpha variable 38-1	TRAV381, TCRAV14S2, TCRAV38S1	28644	ENSG00000211816
ATE1	arginyltransferase 1		11101	ENSG00000107669
TM9SF4	transmembrane 9 superfamily protein member 4	KIAA0255, dJ836N17.2	9777	ENSG00000101337
ZNF275	zinc finger protein 275		10838	ENSG00000063587
CDRT15P2	CMT1A duplicated region transcript 15 pseudogene 2		644694	ENSG00000227255
STMN1	stathmin 1	SMN, OP18, PR22, PP19, PP17, Lag, FLJ32206	3925	ENSG00000117632
UBE2CP2	ubiquitin-conjugating enzyme E2C pseudogene 2		646595	
PPP6C	protein phosphatase 6, catalytic subunit	PP6	5537	ENSG00000119414
RPS12P12	ribosomal protein S12 pseudogene 12		100131761	
TRAPPC2P4	trafficking protein particle complex 2 pseudogene 4		27194	ENSG00000232914
IGKV1D-16	immunoglobulin kappa variable 1D-16		28901	ENSG00000241244
TRAV19	T cell receptor alpha variable 19	TCRAV12S1, TCRAV19S1	28664	ENSG00000211799
HMGB1P38	high mobility group box 1 pseudogene 38			ENSG00000243877
OR2L8	olfactory receptor, family 2, subfamily L, member 8		391190	ENSG00000196936
PDGFC	platelet derived growth factor C	SCDGF, fallotein	56034	ENSG00000145431
RNY4P26	RNA, Ro-associated Y4 pseudogene 26			ENSG00000252895
ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	MCAD, MCADH, ACAD1	34	ENSG00000117054
ASTE1	asteroid homolog 1 (Drosophila)	HT001	28990	ENSG00000034533
GLULP1	glutamate-ammonia ligase (glutamine synthetase) pseudogene 1		2753	
TERT	telomerase reverse transcriptase	TRT, TP2, TCS1, hEST2, EST2	7015	ENSG00000164362
RLN1	relaxin 1	H1	6013	ENSG00000107018
FABP5P11	fatty acid binding protein 5 pseudogene 11		266699	ENSG00000240122
HMGB1P8	high mobility group box 1 pseudogene 8		692147	
RPS2P12	ribosomal protein S2 pseudogene 12		650901	
ZNF731	zinc finger protein 731			
PCDH9	protocadherin 9		5101	ENSG00000184226
TTTY10	testis-specific transcript, Y-linked 10 (non-protein coding)	NCRNA00133	246119	ENSG00000229236
FSCN2	fascin homolog 2, actin-bundling protein, retinal (Strongylocentrotus purpuratus)	RP30, RFSN	25794	ENSG00000186765
TMEM150C	transmembrane protein 150C	FLJ12993	441027	ENSG00000249242
C2orf80	chromosome 2 open reading frame 80	LOC389073	389073	ENSG00000188674
CD3G	CD3g molecule, gamma (CD3-TCR complex)		917	ENSG00000160654
PIRC77	piwi-interacting RNA cluster 77		100313868	
C3	complement component 3	CPAMD1	718	ENSG00000125730
C21orf96	chromosome 21 open reading frame 96	FLJ20856	80215	
PNPLA2	patatin-like phospholipase domain containing 2	desnutrin, TTS-2.2, ATGL, FP17548	57104	ENSG00000177666
TRNAG26	transfer RNA glycine 26 (anticodon CCC)		100189277	
SCN5A	sodium channel, voltage-gated, type V, alpha subunit	Nav1.5, LQT3, HB1, HBBD, PFHB1, IVF, HB2, HH1, SSS1, CDCD2, CMPD2, ICCD	6331	ENSG00000183873
WWP2	WW domain containing E3 ubiquitin protein ligase 2	AIP2	11060	ENSG00000198373
RPL14P4	ribosomal protein L14 pseudogene 4		100271282	
SLC25A5P8	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 pseudogene 8		392301	
MRPS18CP4	mitochondrial ribosomal protein S18C pseudogene 4		349842	
SSXP6	SSX family pseudogene 6	psiSSX6	326587	
PPP1R1A	protein phosphatase 1, regulatory (inhibitor) subunit 1A		5502	ENSG00000135447
DAP3	death associated protein 3	MRPS29, DAP-3, MRP-S29, bMRP-10, MGC126058, MGC126059, DKFZp686G12159	7818	ENSG00000132676
PPP1R3C	protein phosphatase 1, regulatory subunit 3C	PTG	5507	ENSG00000119938
EIF2C3	eukaryotic translation initiation factor 2C, 3	FLJ12765, AGO3	192669	ENSG00000126070
MRPS31P1	mitochondrial ribosomal protein S31 pseudogene 1		351449	
PRICKLE2-AS1	PRICKLE2 antisense RNA 1 (non-protein coding)			ENSG00000241572
HLA-C	major histocompatibility complex, class I, C		3107	
GPATCH8	G patch domain containing 8		23131	ENSG00000186566
DKK3	dickkopf 3 homolog (Xenopus laevis)	REIC, RIG	27122	ENSG00000050165
MIR4435-2	microRNA 4435-2	hsa-mir-4435-2	100616341	
TMEM86B	transmembrane protein 86B	MGC30208	255043	ENSG00000180089
VN1R74P	vomeronasal 1 receptor 74 pseudogene		100312819	
FBXO22	F-box protein 22	FBX22, FISTC1	26263	ENSG00000167196
IGHV4-34	immunoglobulin heavy variable 4-34		28395	ENSG00000211956
HSF1	heat shock transcription factor 1	HSTF1	3297	ENSG00000185122
KRT18P26	keratin 18 pseudogene 26		729634	
KIF20B	kinesin family member 20B	MPP1, KRMP1, CT90	9585	ENSG00000138182
HSH2D	hematopoietic SH2 domain containing	ALX, HSH2, FLJ14886	84941	ENSG00000196684
TP53AIP1	tumor protein p53 regulated apoptosis inducing protein 1	p53AIP1	63970	ENSG00000120471
SIPA1	signal-induced proliferation-associated 1	SPA1	6494	ENSG00000213445
ARMC1	armadillo repeat containing 1	FLJ10511, Arcp	55156	ENSG00000104442
ST13P11	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 11		728162	ENSG00000213368
FOXQ1	forkhead box Q1	HFH1	94234	ENSG00000164379
ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1 (brefeldin A-inhibited)	DKFZP434L057, BIG1, ARFGEP1, p200	10565	ENSG00000066777
ATP5F1P3	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1 pseudogene 3		644333	ENSG00000214003
ANKRD20A1	ankyrin repeat domain 20 family, member A1	DKFZp434A171	84210	ENSG00000196774
VN1R92P	vomeronasal 1 receptor 92 pseudogene		100312837	
OR2V1	olfactory receptor, family 2, subfamily V, member 1	OST265	26693	ENSG00000185372
PITPNM2	phosphatidylinositol transfer protein, membrane-associated 2	RDGBA2, RDGB2, NIR3	57605	ENSG00000090975
TRNAK15	transfer RNA lysine 15 (anticodon CUU)		100189119	
ATP5G1	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9)		516	ENSG00000159199
RPL21P78	ribosomal protein L21 pseudogene 78		100271185	
CLYBL-AS2	CLYBL antisense RNA 2 (non-protein coding)			ENSG00000227659
MTRNR2L2	MT-RNR2-like 2		100462981	
MIR5091	microRNA 5091	hsa-mir-5091		
SNORD113-7	small nucleolar RNA, C/D box 113-7	14q(I-7)	767567	ENSG00000200632
HMGA1P6	high mobility group AT-hook 1 pseudogene 6		100130029	ENSG00000233440
AMY1A	amylase, alpha 1A (salivary)		276	ENSG00000237763
SH3GLB1	SH3-domain GRB2-like endophilin B1	CGI-61, KIAA0491, Bif-1, PPP1R70	51100	ENSG00000097033
DNHD1	dynein heavy chain domain 1	FLJ32752, FLJ46184, FLJ35709, DKFZp686J0796	144132	ENSG00000179532
RAD51AP2	RAD51 associated protein 2	FLJ17540	729475	ENSG00000214842
H3F3C	H3 histone, family 3C		440093	ENSG00000188375
DNAH9	dynein, axonemal, heavy chain 9	Dnahc9, KIAA0357, HL20, HL-20, DNAL1, DYH9	1770	ENSG00000007174
ZNF383	zinc finger protein 383	FLJ35863	163087	ENSG00000188283
MIR642B	microRNA 642b	hsa-mir-642b	100500845	
PGK1P2	phosphoglycerate kinase 1, pseudogene 2		5233	
KLRF1	killer cell lectin-like receptor subfamily F, member 1	CLEC5C, NKp80	51348	ENSG00000150045
ZCCHC24	zinc finger, CCHC domain containing 24	FLJ90798	219654	ENSG00000165424
NPM1	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	B23, NPM	4869	ENSG00000181163
VN1R35P	vomeronasal 1 receptor 35 pseudogene		100312789	ENSG00000228660
RPS12P22	ribosomal protein S12 pseudogene 22		440055	
DZIP1L	DAZ interacting protein 1-like	FLJ32844, DZIP2	199221	ENSG00000158163
INMT	indolethylamine N-methyltransferase		11185	ENSG00000241644
ALPPP	alkaline phosphatase, pseudogene		260330	
MRX31	mental retardation, X-linked 31		4395	
DCAF8	DDB1 and CUL4 associated factor 8	H326, FLJ35857	50717	ENSG00000132716
SURF2	surfeit 2		6835	ENSG00000148291
SERPINB2	serpin peptidase inhibitor, clade B (ovalbumin), member 2	HsT1201	5055	ENSG00000197632
DNAJB8	DnaJ (Hsp40) homolog, subfamily B, member 8	MGC33884	165721	ENSG00000179407
VN1R44P	vomeronasal 1 receptor 44 pseudogene		100312855	
C19orf81	chromosome 19 open reading frame 81		342918	
KRT8P42	keratin 8 pseudogene 42		100418750	ENSG00000220378
UBA52P8	ubiquitin A-52 residue ribosomal protein fusion product 1 pseudogene 8		100271343	
RPL23AP51	ribosomal protein L23a pseudogene 51		100271464	
SIAH2-AS1	SIAH2 antisense RNA 1 (non-protein coding)			ENSG00000244265
FAM32B	family with sequence similarity 32, member B (pseudogene)		399656	ENSG00000203416
PSMB8	proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)	RING10, D6S216E, PSMB5i, beta5i	5696	
RPS18P10	ribosomal protein S18 pseudogene 10		729293	
FRA10D	fragile site, aphidicolin type, common, fra(10)(q22.1)		2434	
STRA8	stimulated by retinoic acid gene 8 homolog (mouse)		346673	ENSG00000146857
RPL23AP33	ribosomal protein L23a pseudogene 33		100271293	
